AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,SCORE
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT01,"Définir et classer les systèmes selon des caractéristiques telles que : statique/dynamique, monovariable/multivariable, continu/discret, linéaire/non-linéaire, causal et invariant.",1,0.0471202832
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT02,"Décrire la nature des signaux d'entrée/sortie, qu'ils soient continus ou discrets.",1,0.2662648949
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT03,"Identifier la classe d’un système à partir de sa réponse indicielle, impulsionnelle, etc.",1,0.0379326456
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT04,Représenter des signaux en utilisant un outil numérique (Scilab),0,0.0443287204
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT05,Analyser la stabilité d’un système en étudiant sa fonction de transfert à l’aide d’un outil numérique (Scilab),0,0.0707473039
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT06,"Tracer des les diagrammes de réponse en fréquence (gain, phase) à l’aide d’un outil numérique (Scilab)",0,0.0932520282
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT07,"Identifier les exigences clés dans la conception d’un système de commande : stabilité, marges, précision, rapidité, rejet des perturbations, robustesse.",0,0.0476207283
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT08,"Proposer une stratégie générale pour analyser un système non corrigé, définir les exigences, synthétiser un correcteur et vérifier les performances.",0,0.0544906632
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT09,Déterminer la fonction de transfert d'un système LTI continu à partir de son équation différentielle.,0,0.0736721475
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT10,"Identifier les éléments caractéristiques d'une fonction de transfert : pôles, zéros et gain.",0,0.0915821653
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT11,"Analyser la réponse temporelle des systèmes du premier ordre (intégrateur, premier ordre) soumis à des signaux d’entrée standards.",0,0.0754494076
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT12,"Analyser les caractéristiques temporelles (amortissement, oscillations, temps de stabilisation) des systèmes du second ordre en fonction de leurs pôles et de leurs paramètres.",0,0.1333464620
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT13,Appliquer la transformée de Laplace et ses propriétés aux signaux et aux systèmes.,0,0.0800427496
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT14,"Analyser la réponse fréquentielle des systèmes LTI à l’aide des diagrammes de Bode, Nyquist et Black.",0,0.0618965463
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT15,Appliquer le critère de Routh pour déterminer la stabilité d’un système en boucle fermée à partir de son équation caractéristique.,0,0.0959321157
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT16,Appliquer le critère de Nyquist pour déterminer la stabilité en boucle fermée à partir du diagramme de la fonction de transfert en boucle ouverte autour du point critique (-1).,0,0.1228163531
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT17,"Évaluer les performances dynamiques (rapidité, amortissement) des systèmes en boucle fermée, en les reliant si possible aux caractéristiques en boucle ouverte.",0,0.1086262949
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT18,"Interpréter les diagrammes de réponse fréquentielle (gain, phase) pour les systèmes élémentaires : gain pur, intégrateur, dérivateur, éléments du premier et du second ordre.",0,0.0718295103
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT19,"Relier les performances en temps (constante de temps, temps de montée) aux notions fréquentielles (fréquence de coupure, bande passante) pour les systèmes du premier ordre.",0,0.1147161781
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT20,Utiliser le critère du Revers pour une évaluation simplifiée de la stabilité à partir du diagramme de Nyquist ou de Black.,0,0.0886556746
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT21,Identifier les pôles dominants dans les systèmes d’ordre supérieur et analyser leur influence sur la réponse transitoire.,0,0.0591462174
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT22,Décrire la structure et le rôle d’un système automatique ou d’un système asservi (boucle de rétroaction).,0,0.1234246402
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT23,Distinguer les caractéristiques des systèmes en boucle ouverte et en boucle fermée.,0,0.1250888990
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT24,Analyser la stabilité des systèmes LTI à partir de la partie réelle des pôles de leur fonction de transfert.,0,0.0970883342
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT25,Déterminer les marges de stabilité à partir des diagrammes fréquentiels en boucle ouverte.,0,0.1086423760
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT26,Interpréter la signification des marges de stabilité pour évaluer la robustesse de la stabilité en boucle fermée.,0,0.0948889650
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT27,Analyser l’erreur statique en régime permanent pour différents types de signaux d’entrée en fonction de la classe du système.,0,0.3049895682
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT28,Analyser le rejet asymptotique des perturbations en fonction de la structure du système et du nombre d’intégrateurs.,0,0.0888095013
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT29,Comprendre les limitations des systèmes non corrigés et la nécessité d’ajouter des correcteurs.,0,0.0449649400
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT30,Décrire la fonction et les effets d’un correcteur intégral (I) sur les performances du système et sa réponse fréquentielle.,0,0.1579005258
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT31,"Décrire la fonction et les effets d’un correcteur proportionnel-intégral (PI), combinant amélioration de la précision et impact minimal sur la dynamique rapide.",0,0.1305841425
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT32,"Décrire la fonction et les effets d’un correcteur proportionnel-dérivatif (PD), améliorant principalement la stabilité et la dynamique rapide.",0,0.1188325640
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT33,Décrire la fonction et les effets d’un correcteur à avance de phase comme approximation causale d’un correcteur PD.,0,0.1313266639
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT34,Décrire les effets combinés et la structure d’un correcteur proportionnel-intégral-dérivatif (PID).,0,0.1215415386
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT35,Tracer les diagrammes de Bode asymptotiques à partir de la forme normalisée de la fonction de transfert.,0,0.1501059475
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT36,Tracer un diagramme de Nyquist,0,0.0654239213
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,AUTO-AUT37,Tracer un diagramme de Black,0,0.0644022088
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT01,"Définir et classer les systèmes selon des caractéristiques telles que : statique/dynamique, monovariable/multivariable, continu/discret, linéaire/non-linéaire, causal et invariant.",0,0.0455856939
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT02,"Décrire la nature des signaux d'entrée/sortie, qu'ils soient continus ou discrets.",0,0.0000000000
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT03,"Identifier la classe d’un système à partir de sa réponse indicielle, impulsionnelle, etc.",0,0.0390199291
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT04,Représenter des signaux en utilisant un outil numérique (Scilab),0,0.0457302452
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT05,Analyser la stabilité d’un système en étudiant sa fonction de transfert à l’aide d’un outil numérique (Scilab),0,0.0728794835
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT06,"Tracer des les diagrammes de réponse en fréquence (gain, phase) à l’aide d’un outil numérique (Scilab)",0,0.0368199422
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT07,"Identifier les exigences clés dans la conception d’un système de commande : stabilité, marges, précision, rapidité, rejet des perturbations, robustesse.",0,0.0304617146
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT08,"Proposer une stratégie générale pour analyser un système non corrigé, définir les exigences, synthétiser un correcteur et vérifier les performances.",0,0.0864144275
specifier-1.2,Décomposer et organiser un processus,AUTO-AUT09,Déterminer la fonction de transfert d'un système LTI continu à partir de son équation différentielle.,0,0.0378919256
