AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-2,Distinguer les signaux analogiques et numériques,1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,1
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-48-4,Concevoir un programme avec du multithreading,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,,,0
specifier-1.2,Décomposer et organiser un processus,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0
specifier-1.2,Décomposer et organiser un processus,ELEC-1-2,Distinguer les signaux analogiques et numériques,0
specifier-1.2,Décomposer et organiser un processus,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0
specifier-1.2,Décomposer et organiser un processus,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,1
specifier-1.2,Décomposer et organiser un processus,ELEC-2-2,Traduire un cachier des charges en une table de vérité,1
specifier-1.2,Décomposer et organiser un processus,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,1
specifier-1.2,Décomposer et organiser un processus,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0
specifier-1.2,Décomposer et organiser un processus,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0
specifier-1.2,Décomposer et organiser un processus,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0
specifier-1.2,Décomposer et organiser un processus,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0
specifier-1.2,Décomposer et organiser un processus,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0
specifier-1.2,Décomposer et organiser un processus,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0
specifier-1.2,Décomposer et organiser un processus,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0
specifier-1.2,Décomposer et organiser un processus,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0
specifier-1.2,Décomposer et organiser un processus,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0
specifier-1.2,Décomposer et organiser un processus,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0
specifier-1.2,Décomposer et organiser un processus,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0
specifier-1.2,Décomposer et organiser un processus,ELEC-48-4,Concevoir un programme avec du multithreading,0
specifier-1.2,Décomposer et organiser un processus,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0
specifier-1.2,Décomposer et organiser un processus,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0
specifier-1.2,Décomposer et organiser un processus,,,0
specifier-1.3,Utiliser un langage formel,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0
specifier-1.3,Utiliser un langage formel,ELEC-1-2,Distinguer les signaux analogiques et numériques,0
specifier-1.3,Utiliser un langage formel,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0
specifier-1.3,Utiliser un langage formel,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0
specifier-1.3,Utiliser un langage formel,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0
specifier-1.3,Utiliser un langage formel,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0
specifier-1.3,Utiliser un langage formel,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0
specifier-1.3,Utiliser un langage formel,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0
specifier-1.3,Utiliser un langage formel,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0
specifier-1.3,Utiliser un langage formel,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0
specifier-1.3,Utiliser un langage formel,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0
specifier-1.3,Utiliser un langage formel,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0
specifier-1.3,Utiliser un langage formel,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0
specifier-1.3,Utiliser un langage formel,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0
specifier-1.3,Utiliser un langage formel,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0
specifier-1.3,Utiliser un langage formel,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0
specifier-1.3,Utiliser un langage formel,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0
specifier-1.3,Utiliser un langage formel,ELEC-48-4,Concevoir un programme avec du multithreading,0
specifier-1.3,Utiliser un langage formel,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0
specifier-1.3,Utiliser un langage formel,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0
specifier-1.3,Utiliser un langage formel,,,0
specifier-2.1,Analyser la demande,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0
specifier-2.1,Analyser la demande,ELEC-1-2,Distinguer les signaux analogiques et numériques,0
specifier-2.1,Analyser la demande,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0
specifier-2.1,Analyser la demande,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0
specifier-2.1,Analyser la demande,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0
specifier-2.1,Analyser la demande,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0
specifier-2.1,Analyser la demande,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0
specifier-2.1,Analyser la demande,ELEC-15-4,Identifier les caractéristiques d'un systèmes à microprocesseur,0
specifier-2.1,Analyser la demande,ELEC-17-1,Identifier les outils logiciel pour la mise en œuvre d'un système embarqué,0
specifier-2.1,Analyser la demande,ELEC-17-2,Différencier les interfaces disponibles sur une carte électronique,0
specifier-2.1,Analyser la demande,ELEC-17-3,Distinguer les protocoles de communication dans un système embarqué,0
specifier-2.1,Analyser la demande,ELEC-17-4,Utiliser des actionneurs pour mettre en œuvre un système embarqué,0
specifier-2.1,Analyser la demande,ELEC-17-5,Analyser des filtres analogiques passifs et actifs en terme de gain,0
specifier-2.1,Analyser la demande,ELEC-31-2,Etablir une acquisition en choisissant le bon protocole de communication,0
specifier-2.1,Analyser la demande,ELEC-31-4,Utiliser la modulation de largeur d'impulsions pour piloter des actionneurs,0
specifier-2.1,Analyser la demande,ELEC-48-2,Programmer un système numérique pour générer un signal modulé en s'appuyant sur des paramètres pré-définis,0
specifier-2.1,Analyser la demande,ELEC-48-3,Intégrer des requêtes d'interruptions dans un programme,0
specifier-2.1,Analyser la demande,ELEC-48-4,Concevoir un programme avec du multithreading,0
specifier-2.1,Analyser la demande,ELEC-52-1,Evaluer un capteur en fonction d'une documentation,0
specifier-2.1,Analyser la demande,ELEC-52-2,Implémenter une application sur un système embarqué à l'aide de la documentation,0
specifier-2.1,Analyser la demande,,,0
specifier-2.2,Définir des cas d’utilisation,ELEC-1-1,Distinguer les entrées/sorties sur un système à microprocesseur,0
specifier-2.2,Définir des cas d’utilisation,ELEC-1-2,Distinguer les signaux analogiques et numériques,0
specifier-2.2,Définir des cas d’utilisation,ELEC-1-3,Identifier les entrées/sorties d'un circuit logique,0
specifier-2.2,Définir des cas d’utilisation,ELEC-2-1,Identifier les priorités de tâches dans un systèmes embarqué,0
specifier-2.2,Définir des cas d’utilisation,ELEC-2-2,Traduire un cachier des charges en une table de vérité,0
specifier-2.2,Définir des cas d’utilisation,ELEC-2-3,Programmer des entrées/sorties d'un système embarqué,0
specifier-2.2,Définir des cas d’utilisation,ELEC-15-3,Différencier les capteurs en fonction de leurs propriétés et de la mesure physique,0
