AC-ID,AC-TITLE,AAD-ID,AAD-TITLE,LABEL,MEAN-MAXSIM
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-1,Retrouver les dimensions d’une matrice,1,0.3230146170
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-2,Identifier les différents type de matrice (structure et taille),1,0.5101935863
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-1-3,Identifier et connaître un problème des moindres carrés,1,0.3695055842
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-2-1,Retrouver le schema de résolution des moindres carrés avec la méthode du gradient,0,0.3391087651
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-3-1,Maitriser les opérations vectorielles (produit scalaire,0,0.3333342671
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-14-1,Etre capable de représenter un systèmes d’équation linéaire sous forme matricielle,0,0.3777320981
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-3,Connaitre les propriétés d’une matrice de Gauss,0,0.3034157455
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-4,Connaitre les propriétés d’une matrice de permutation,0,0.2502374947
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-5,Connaitre les propriétés d’une matrice définie positive,0,0.2690759003
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-6,Connaitre les propriétés d’une matrice orthogonale,0,0.2145187855
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-7,Connaitre les propriétés d’une matrice de Householder,0,0.2406580448
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-8,Connaitre les propriétés des normes matricielles et vectorielles,0,0.3503825963
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-9,Connaitre les propriétés de la décomposition valeurs propres,0,0.3166770339
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-15-10,Connaitre les propriétés de la décomposition valeurs singulières,0,0.3102730215
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-1,Connaitre les conditions d’applications de Cholesky et LDL,0,0.2242439687
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-2,Identifier les avantages/limites des méthodes décomposition,0,0.2322036326
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-16-3,Identifier les similitudes et différences entre Jacobi,0,0.2124488056
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-1,Etre capable d’implémenter un produit matriciel,0,0.2883733511
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-2,Etre capable d’implémenter un produit matriciel de différentes manières,0,0.3522984982
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-3,Connaitre les complexités des opérations vectorielles et matricielles,0,0.3537722528
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-4,Implémenter la résolution d’un systeme d’équation linéaire avec matrice diagonale,0,0.3178952932
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-5,Implémenter la résolution d’un systeme d’équation linéaire avec matrice triangulaire,0,0.3226880431
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-6,Retrouver l’algorithme de calcul de l’inverse d’une matrice triangulaire,0,0.2840520740
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-7,Retrouver les variantes (exterieur/recursive/trisup) de Cholesky,0,0.3314511180
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-8,Connaitre les complexités des la résolution de systeme d’équation triangulaires,0,0.2981675863
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-9,Retrouver le schema de résolution de Ax=b donné A=LU,0,0.2778076828
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-10,Calculer une matrice triangulaire supérieure en utilisant les matrices de Gauss,0,0.2936914563
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-11,Connaitre l’algorithme de décomposition PA=LU,0,0.3431463838
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-12,Retrouver le schema de résolution de Ax=b donné PA=LU,0,0.2713876963
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-13,Retrouver l’algorithme de décomposition A=LDL,0,0.3335932493
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-14,Retrouver l’algorithme de Cholesky,0,0.2204851210
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-16,Retrouver le schema de résolution des moindres carrés avec QR,0,0.3278906643
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-17,Retrouver l’algorithme de décomposition QR avec Householder,0,0.3135406673
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-18,Connaitre le principe des méthodes itératives,0,0.3349024355
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-19,Connaitre le principe de PageRank,0,0.2787836790
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-20,Calculer  une valeur propre en utilisant l’algorithme des puissances itérées,0,0.3002225757
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-21,Implémenter l’algorithme QR pour les valeurs propres,0,0.3413357735
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-22,Calculer les valeurs singulieres d’une matrice a partir des valeurs propres,0,0.3460992873
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-29-23,Implémenter l’algorithme de bidiagonisation pour le calcul de la SVD,0,0.3284827471
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-30-1,Estimer les valeurs propres avec les cercles de Gershgorin,0,0.2306422442
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-31-1,Appliquer les décompositions valeurs propres/singulières pour du débruitage d’images ( ??),0,0.2948890924
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-1,Exploiter les structures particulières de matrices,0,0.3476328552
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-2,Optimiser l’implémentation de la transformation de Gauss,0,0.2563887537
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-32-3,Optmisier l’approche QR pour les valeurs propres avec la forme tridiagonale,0,0.2945791781
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-1,Etre capable de coder en Python/numpy le produit matriciel,0,0.2976864278
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-2,Implémenter en Python/numpy l’algorithme de décomposition LU,0,0.2698826492
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-3,Implémenter en Python/numpy l’algorithme de décomposition PALU,0,0.2545549273
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-4,Implémenter LDL et Cholesky en python/numpy,0,0.1957624555
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-5,Implémenter efficacement en Python/numpy l’algorithme de décomposition QR,0,0.2378777266
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-6,Implémenter en Python/numpy un algorithme de méthode itérative,0,0.2976635098
specifier-1.1,Décrire les types de données en entrée et sortie de chaque composant,ANANUM-49-7,Implémenter en python/numpy la décomposition valeurs propres/singulières,0,0.2937213778
specifier-1.2,Décomposer et organiser un processus,ANANUM-1-1,Retrouver les dimensions d’une matrice,0,0.2144523263
specifier-1.2,Décomposer et organiser un processus,ANANUM-1-2,Identifier les différents type de matrice (structure et taille),0,0.2619358897
specifier-1.2,Décomposer et organiser un processus,ANANUM-1-3,Identifier et connaître un problème des moindres carrés,0,0.2598733902
